1,72,1,72,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,Pop1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTA1,LTA2,LTA3,LTA4,LTA5,LTA6,LTA7,LTA8,LTA9,LTA10,LTA11,LTA12,LTA13,LTA14,LTA15,LTA16,LTA17,LTA18,LTA19,LTA20,LTA21,LTA22,LTA23,LTA24,LTA25,LTA26,LTA27,LTA28,LTA29,LTA30,LTA31,LTA32,LTA33,LTA34,LTA35,LTA36,LTA37,LTA38,LTA39,LTA40,LTA41,LTA42,LTA43,LTA44,LTA45,LTA46,LTA47,LTA48,LTA49,LTA50,LTA51,LTA52,LTA53,LTA54,LTA55,LTA56,LTA57,LTA58,LTA59,LTA60,LTA61,LTA62,LTA63,LTA64,LTA65,LTA66,LTA67,LTA68,LTA69,LTA70,LTA71,LTA72,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA1
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA2
13,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA3
15,10,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA4
10,13,21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA5
19,16,16,14,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA6
15,14,22,15,11,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA7
13,16,20,16,15,16,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA8
14,15,20,14,13,16,19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA9
20,13,27,13,16,18,17,13,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA10
15,11,21,7,13,13,9,15,16,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA11
21,14,28,16,15,18,18,9,12,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA12
10,10,17,12,10,11,16,15,11,15,12,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA13
12,11,19,16,10,13,11,13,15,16,12,13,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA14
15,14,19,18,14,11,13,17,19,19,15,17,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA15
24,24,24,25,22,16,23,25,23,25,24,22,21,17,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA16
9,11,18,9,9,15,13,16,13,15,10,17,9,10,15,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA17
14,16,21,16,12,13,13,12,13,14,12,14,12,10,15,21,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA18
12,13,21,13,13,16,19,12,10,14,15,13,9,14,19,25,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA19
19,9,26,12,16,18,19,16,15,9,16,16,16,16,19,26,14,18,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA20
11,12,22,13,12,16,15,16,13,15,12,16,11,9,14,24,7,10,11,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA21
11,10,19,12,13,12,14,13,12,14,12,15,8,11,15,20,7,10,10,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA22
16,10,23,12,10,15,15,11,13,15,10,9,9,10,15,23,13,16,14,14,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA23
20,17,24,14,11,20,15,18,14,15,14,13,14,17,19,23,13,18,20,19,18,16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA24
18,15,22,9,13,16,14,15,13,14,11,14,17,14,16,23,11,14,19,14,14,13,14,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA25
14,15,19,13,14,12,18,18,14,18,12,20,11,14,18,22,12,9,15,18,13,12,18,19,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA26
10,9,22,10,6,16,11,13,14,14,11,13,10,12,14,22,10,13,12,12,11,9,9,14,14,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA27
12,15,17,13,10,18,11,16,15,16,10,18,14,12,16,25,10,11,17,17,11,15,16,14,12,10,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA28
18,14,25,13,15,18,22,16,14,18,15,18,15,17,20,27,15,18,15,18,16,16,15,14,15,16,17,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA29
14,16,20,14,16,16,13,22,20,21,8,25,14,13,16,23,12,14,18,19,14,11,17,22,16,12,16,13,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA30
12,13,19,13,15,13,18,19,15,17,15,19,8,15,16,20,8,14,12,16,12,7,18,16,17,12,13,17,16,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA31
