1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTA1,LTA2,LTA3,LTA4,LTA5,LTA6,LTA7,LTA8,LTA9,LTA10,LTA11,LTA12,LTA13,LTA14,LTA15,LTA16,LTA17,LTA18,LTA19,LTA20,LTA21,LTA22,LTA23,LTA24,LTA25,LTA26,LTA27,LTA28,LTA29,LTA30,LTA31,LTA32,LTA33,LTA34,LTA35,LTA36,LTA37,LTA38,LTA39,LTA40,LTA41,LTA42,LTA43,LTA44,LTA45,LTA46,LTA47,LTA48,LTA49,LTA50,LTA51,LTA52,LTA53,LTA54,LTA55,LTA56,LTA57,LTA58,LTA59,LTA60,LTA61,LTA62,LTA63,LTA64,LTA65,LTA66,LTA67,LTA68,LTA69,LTA70,LTA71,LTA72,
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA1
2.236,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA2
7.071,5.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA3
12.806,10.630,5.831,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA4
9.055,8.062,5.657,9.055,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA5
12.530,10.770,6.083,5.000,5.385,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA6
19.416,17.493,12.530,8.062,12.207,7.071,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA7
15.524,14.142,10.050,9.220,6.708,4.472,7.071,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA8
14.142,12.042,7.071,2.000,9.055,4.123,6.083,7.810,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA9
19.313,17.720,13.153,10.440,10.817,7.071,4.472,4.243,8.544,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA10
22.804,21.378,17.029,14.560,13.928,11.000,7.810,7.280,12.649,4.123,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA11
19.799,17.692,12.728,7.211,13.928,8.544,3.606,10.050,5.657,8.062,11.314,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA12
20.025,19.026,15.524,15.000,11.000,10.296,10.770,5.831,13.454,6.325,5.385,14.318,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA13
26.833,25.080,20.248,16.125,18.601,14.318,8.062,12.042,14.142,7.810,6.325,10.198,11.705,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA14
26.833,25.080,20.248,16.125,18.601,14.318,8.062,12.042,14.142,7.810,6.325,10.198,11.705,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA15
26.833,25.080,20.248,16.125,18.601,14.318,8.062,12.042,14.142,7.810,6.325,10.198,11.705,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA16
18.601,16.401,11.662,5.831,14.142,9.000,6.403,11.705,5.099,10.630,14.213,3.162,16.643,13.342,13.342,13.342,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA17
10.050,8.000,6.403,7.000,12.042,10.770,15.033,15.232,9.000,17.263,21.378,13.601,21.024,23.087,23.087,23.087,11.180,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA18
26.401,24.207,19.416,13.601,21.190,15.811,10.000,17.029,12.530,14.142,16.155,7.280,20.396,12.042,12.042,12.042,7.810,18.601,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA19
22.204,21.587,18.788,19.105,13.601,14.213,15.232,9.899,17.692,10.770,9.000,18.788,4.472,15.133,15.133,15.133,21.095,24.698,24.739,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA20
28.443,27.166,23.000,20.616,19.416,17.029,13.416,13.038,18.682,10.198,6.083,16.643,8.944,8.062,8.062,8.062,19.723,27.459,20.000,10.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA21
31.064,30.265,26.926,25.942,22.204,21.541,19.849,17.088,24.187,15.811,12.042,23.345,11.402,15.652,15.652,15.652,26.249,32.311,27.459,9.055,7.616,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA22
31.064,30.265,26.926,25.942,22.204,21.541,19.849,17.088,24.187,15.811,12.042,23.345,11.402,15.652,15.652,15.652,26.249,32.311,27.459,9.055,7.616,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTA23
