Results of Spatial Structure Analysis,,,,,,,
,,,,,,,
Genetic Distance,GD,,,,,,
Geographic Distance,GGD,,,,,,
Data Title,,,,,,,
,,,,,,,
No. Samples,72,,,,,,
Even Distance Classes (Size = 15),,,,,,,
No. Dist. Classes,100,,,,,,
No. Permutations,99,,,,,,
No. Bootstraps,100,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
n,573,870,564,354,161,34,
Distance Class (End Point),15,30,45,60,75,90,
r,0.004,-0.005,0.005,-0.005,0.006,0.002,
U,0.010,0.008,0.013,0.015,0.021,0.062,
L,-0.012,-0.008,-0.011,-0.015,-0.025,-0.058,
P(r-rand >= r-data),0.250,0.950,0.200,0.830,0.220,0.450,
P(r-rand <= r-data),0.760,0.060,0.810,0.180,0.790,0.560,
Correction,0.014,0.014,0.014,0.014,0.014,0.014,
r uc,-0.010,-0.019,-0.009,-0.019,-0.008,-0.012,
U uc,-0.004,-0.006,-0.001,0.001,0.006,0.048,
L uc,-0.026,-0.022,-0.025,-0.029,-0.039,-0.072,
Mean Bootstrap r,0.005,-0.005,0.006,-0.006,0.008,0.004,
Ur error,0.014,0.010,0.014,0.013,0.024,0.048,
Lr error,0.015,0.010,0.015,0.016,0.024,0.045,
Ur,0.018,0.005,0.019,0.008,0.030,0.049,
Lr,-0.011,-0.015,-0.010,-0.021,-0.018,-0.043,
Intercept,21.471,,,,,,
,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,
