14,72,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
LTA1,LT,274,278,405,407,335,338,370,370,357,357,342,342,232,232,226,235,220,223,409,409,372,378,164,176,389,392,350,359,,6,22
LTA2,LT,274,274,405,407,335,335,370,376,357,357,342,342,226,229,217,223,214,223,409,409,345,372,164,179,392,392,350,353,,7,20
LTA3,LT,278,278,405,405,338,338,370,370,357,357,342,342,214,229,223,226,211,217,400,409,345,372,176,179,389,398,350,359,,11,17
LTA4,LT,274,274,401,405,335,335,370,370,357,357,342,342,226,232,217,217,223,223,400,406,345,372,176,179,392,392,350,350,,14,12
LTA5,LT,274,274,401,403,335,335,370,370,357,357,342,342,217,211,226,226,220,223,400,409,372,378,164,176,392,392,350,359,,15,21
LTA6,LT,274,276,403,405,335,335,370,370,357,357,342,342,214,223,217,229,211,211,400,403,345,372,164,179,395,398,350,350,,17,16
LTA7,LT,274,276,403,405,335,335,370,370,0,0,342,342,217,211,226,229,223,223,409,409,345,372,176,179,392,392,350,359,,22,11
LTA8,LT,274,278,403,403,338,335,370,370,351,357,342,342,232,211,217,217,214,214,403,409,372,378,164,176,389,392,350,350,,21,18
LTA9,LT,274,274,401,405,335,338,370,370,351,357,339,342,217,232,217,226,214,220,403,403,345,372,164,176,392,413,350,353,,16,12
LTA10,LT,274,274,403,405,335,335,0,0,351,357,342,360,217,211,217,217,214,223,406,409,345,372,164,176,392,413,350,350,,24,15
LTA11,LT,274,276,403,405,335,335,370,370,351,357,342,342,217,232,214,217,223,223,400,409,345,372,179,179,392,392,350,350,,28,16
LTA12,LT,274,274,403,403,335,335,370,370,351,357,342,360,217,211,217,217,214,214,406,409,345,423,164,176,392,413,350,353,,20,8
LTA13,LT,274,274,405,407,335,335,370,370,357,357,342,342,217,232,217,226,214,220,400,409,345,372,164,179,383,395,350,359,,26,21
LTA14,LT,274,276,403,405,335,335,370,370,357,357,342,342,217,211,229,253,214,220,409,409,372,378,176,179,392,395,350,353,,30,10
LTA15,LT,274,276,403,405,335,335,370,370,357,357,342,354,214,211,229,229,202,211,409,409,372,378,176,179,392,395,350,353,,30,10
LTA16,LT,274,276,403,405,335,335,370,370,357,357,342,354,214,211,229,229,211,217,427,427,387,393,191,194,410,413,365,368,,30,10
LTA17,LT,274,280,405,405,335,335,370,370,357,357,342,342,217,232,217,253,220,223,400,409,372,399,164,176,392,392,350,359,,17,7
LTA18,LT,274,276,403,409,335,335,370,370,351,357,342,342,217,211,220,253,220,223,403,409,345,372,164,176,383,389,350,350,,7,12
LTA19,LT,274,274,401,405,335,338,370,370,345,357,342,342,217,232,217,220,214,220,406,409,345,378,164,164,383,392,350,350,,22,1
LTA20,LT,270,274,401,405,335,335,0,0,357,357,342,342,226,211,217,217,214,223,403,409,345,372,164,173,392,392,350,353,,28,25
LTA21,LT,274,276,405,409,335,335,370,370,357,357,333,342,217,232,217,253,220,220,409,409,345,372,164,176,392,392,350,350,,34,17
LTA22,LT,274,276,405,405,335,335,370,370,357,357,342,342,232,211,217,253,214,223,403,409,345,372,164,164,383,392,350,359,,37,24
LTA23,LT,274,274,403,403,335,335,370,370,357,357,342,342,217,232,217,226,214,214,400,409,345,372,173,179,392,392,350,353,,37,24
LTA24,LT,274,274,403,405,335,335,370,370,351,357,345,348,217,211,217,226,214,223,400,400,345,372,167,176,392,392,359,559,,37,24
LTA25,LT,274,276,403,405,332,335,370,370,357,357,342,345,217,211,217,217,223,223,400,403,345,372,176,176,392,392,350,353,,37,24
LTA26,LT,274,276,405,407,335,335,370,370,357,357,342,342,217,226,214,214,220,223,400,403,345,372,164,176,377,389,350,350,,37,24
LTA27,LT,274,274,401,403,335,335,370,370,357,357,342,342,232,211,217,226,223,229,409,409,345,372,164,170,392,392,350,359,,32,12
LTA28,LT,270,278,405,407,335,335,370,370,351,357,342,342,217,211,214,226,220,223,400,409,345,372,176,176,392,392,350,350,,76,11
LTA29,LT,274,274,407,413,335,338,370,370,357,357,348,348,217,226,217,253,214,223,400,403,372,378,164,179,392,392,350,350,,43,21
LTA30,LT,276,276,405,405,335,335,370,370,357,357,342,342,217,232,214,226,223,223,409,412,363,372,173,179,383,392,350,350,,36,12
LTA31,LT,274,280,405,405,335,335,370,370,357,357,342,348,226,232,217,229,220,223,400,409,345,372,164,164,383,386,350,359,,78,27
LTA32,LT,276,276,405,405,335,335,370,370,357,357,342,342,223,229,226,229,217,220,409,409,345,372,164,164,383,392,350,353,,42,25
LTA33,LT,274,274,405,405,335,338,370,370,357,357,342,342,217,238,217,226,223,223,400,400,345,372,164,179,392,392,350,353,,39,7
LTA34,LT,274,274,403,405,335,335,370,370,357,357,342,342,226,232,214,226,223,223,400,409,345,372,164,167,383,389,353,359,,46,18
LTA35,LT,274,276,409,405,335,335,370,370,357,357,342,342,214,211,217,217,217,220,400,409,345,372,164,164,392,395,350,350,,52,11
LTA36,LT,274,276,403,405,335,335,370,370,357,363,342,342,226,211,217,226,220,220,400,409,345,372,164,164,392,392,350,353,,52,11
