1,67,1,67,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB1,LTB2,LTB3,LTB4,LTB5,LTB6,LTB7,LTB8,LTB9,LTB10,LTB11,LTB12,LTB13,LTB14,LTB15,LTB16,LTB17,LTB18,LTB19,LTB20,LTB21,LTB22,LTB23,LTB24,LTB25,LTB26,LTB27,LTB28,LTB29,LTB30,LTB31,LTB32,LTB33,LTB34,LTB35,LTB36,LTB37,LTB38,LTB39,LTB40,LTB41,LTB42,LTB43,LTB44,LTB45,LTB46,LTB47,LTB48,LTB49,LTB50,LTB51,LTB52,LTB53,LTB54,LTB55,LTB56,LTB57,LTB58,LTB59,LTB60,LTB61,LTB62,LTB63,LTB64,LTB65,LTB66,LTB67,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB1
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB2
17,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB3
13,16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB4
12,17,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB5
13,15,14,10,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB6
31,30,29,27,25,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB7
15,16,12,11,8,9,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB8
15,19,15,13,9,8,29,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB9
26,23,25,23,22,21,26,20,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB10
15,16,15,13,8,9,29,13,8,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB11
14,14,14,10,9,9,28,12,11,24,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB12
