1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB1,LTB2,LTB3,LTB4,LTB5,LTB6,LTB7,LTB8,LTB9,LTB10,LTB11,LTB12,LTB13,LTB14,LTB15,LTB16,LTB17,LTB18,LTB19,LTB20,LTB21,LTB22,LTB23,LTB24,LTB25,LTB26,LTB27,LTB28,LTB29,LTB30,LTB31,LTB32,LTB33,LTB34,LTB35,LTB36,LTB37,LTB38,LTB39,LTB40,LTB41,LTB42,LTB43,LTB44,LTB45,LTB46,LTB47,LTB48,LTB49,LTB50,LTB51,LTB52,LTB53,LTB54,LTB55,LTB56,LTB57,LTB58,LTB59,LTB60,LTB61,LTB62,LTB63,LTB64,LTB65,LTB66,LTB67,
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB1
4.123,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB2
6.325,5.385,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB3
5.831,2.236,4.243,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB4
9.434,5.657,6.083,3.606,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB5
10.000,7.280,4.472,5.099,3.606,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB6
17.000,14.560,10.817,12.369,10.000,7.280,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB7
17.000,14.560,10.817,12.369,10.000,7.280,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB8
15.000,12.083,9.220,9.849,7.071,5.000,3.162,3.162,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB9
14.765,10.817,11.045,8.944,5.385,7.071,9.434,9.434,6.403,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB10
20.616,16.971,15.652,14.866,11.314,11.180,8.246,8.246,7.071,6.708,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB11
16.492,13.000,17.205,13.038,12.042,15.620,20.616,20.616,17.464,11.402,17.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB12
18.682,14.560,16.031,13.153,10.000,12.369,14.142,14.142,11.402,5.385,8.246,9.220,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB13
23.707,21.190,17.493,18.974,16.279,13.928,6.708,6.708,9.220,14.142,9.434,25.495,17.464,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB14
20.224,16.492,20.125,16.155,14.422,17.804,21.633,21.633,18.601,12.207,16.492,4.123,8.246,25.632,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB15
24.207,21.095,18.385,18.868,15.652,14.213,8.062,8.062,9.220,12.166,6.083,23.022,14.318,4.472,22.561,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB16
14.036,10.198,13.892,9.849,8.485,12.042,17.088,17.088,13.928,8.062,14.142,3.606,7.211,22.204,6.325,20.025,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB17
