Results of Spatial Structure Analysis,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,,,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,,,,,,,,,,,
Data Title,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No. Samples,67,,,,,,,,,,,,,,,,,,,
Even Distance Classes (Size = 5),,,,,,,,,,,,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,,,,,,,,,,,
No. Permutations,99,,,,,,,,,,,,,,,,,,,
No. Bootstraps,100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
n,44,164,209,209,201,184,136,127,145,107,108,101,115,94,85,65,56,40,18,3
Distance Class (End Point),5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
r,0.085,0.014,0.004,-0.007,-0.003,-0.020,-0.009,0.001,0.014,-0.001,0.019,-0.003,0.013,-0.007,-0.001,-0.053,0.015,-0.002,-0.077,-0.101
U,0.049,0.023,0.020,0.022,0.023,0.021,0.030,0.026,0.022,0.033,0.029,0.027,0.032,0.033,0.036,0.045,0.033,0.049,0.069,0.210
L,-0.053,-0.021,-0.025,-0.018,-0.018,-0.027,-0.028,-0.026,-0.021,-0.031,-0.030,-0.033,-0.032,-0.041,-0.038,-0.050,-0.045,-0.050,-0.082,-0.203
P(r-rand >= r-data),0.010,0.120,0.350,0.780,0.600,0.940,0.740,0.470,0.120,0.430,0.110,0.540,0.250,0.660,0.540,1.000,0.210,0.630,0.950,0.830
P(r-rand <= r-data),1.000,0.890,0.660,0.230,0.410,0.070,0.270,0.540,0.890,0.580,0.900,0.470,0.760,0.350,0.470,0.010,0.800,0.380,0.060,0.180
Correction,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
r uc,0.070,-0.002,-0.011,-0.022,-0.018,-0.036,-0.025,-0.014,-0.001,-0.016,0.004,-0.018,-0.003,-0.022,-0.016,-0.068,-0.000,-0.017,-0.092,-0.116
U uc,0.034,0.008,0.004,0.007,0.008,0.006,0.015,0.011,0.007,0.018,0.013,0.012,0.016,0.018,0.020,0.029,0.018,0.034,0.054,0.195
L uc,-0.068,-0.036,-0.040,-0.033,-0.033,-0.042,-0.044,-0.041,-0.036,-0.046,-0.045,-0.048,-0.047,-0.056,-0.053,-0.065,-0.060,-0.065,-0.097,-0.218
Mean Bootstrap r,0.086,0.013,0.004,-0.008,0.000,-0.020,-0.007,0.003,0.018,-0.003,0.019,-0.004,0.013,-0.008,-0.001,-0.052,0.006,-0.010,-0.077,
Ur error,0.043,0.025,0.021,0.023,0.027,0.023,0.033,0.033,0.030,0.031,0.024,0.028,0.028,0.034,0.027,0.029,0.025,0.031,0.053,
Lr error,0.044,0.031,0.021,0.025,0.024,0.026,0.027,0.025,0.025,0.037,0.029,0.034,0.037,0.035,0.027,0.030,0.035,0.052,0.075,
Ur,0.128,0.039,0.024,0.016,0.024,0.003,0.024,0.035,0.044,0.030,0.043,0.026,0.041,0.027,0.026,-0.023,0.040,0.029,-0.025,
Lr,0.041,-0.018,-0.018,-0.032,-0.027,-0.046,-0.036,-0.024,-0.011,-0.038,-0.010,-0.037,-0.024,-0.042,-0.028,-0.083,-0.020,-0.054,-0.153,
Intercept,16.721,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,
