Results of Spatial Structure Analysis,,,,,,,,,,
,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,
Data Title,,,,,,,,,,
,,,,,,,,,,
No. Samples,67,,,,,,,,,
Even Distance Classes (Size = 10),,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,
No. Permutations,99,,,,,,,,,
No. Bootstraps,100,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
n,208,418,385,263,252,209,209,150,96,21
Distance Class (End Point),10,20,30,40,50,60,70,80,90,100
r,0.028,-0.002,-0.011,-0.004,0.008,0.009,0.004,-0.023,0.008,-0.081
U,0.020,0.013,0.014,0.020,0.020,0.019,0.026,0.022,0.028,0.064
L,-0.019,-0.015,-0.015,-0.018,-0.021,-0.018,-0.020,-0.029,-0.028,-0.070
P(r-rand >= r-data),0.010,0.550,0.950,0.720,0.250,0.130,0.300,0.970,0.350,1.000
P(r-rand <= r-data),1.000,0.460,0.060,0.290,0.760,0.880,0.710,0.040,0.660,0.010
Correction,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
r uc,0.013,-0.017,-0.026,-0.019,-0.007,-0.006,-0.011,-0.039,-0.007,-0.096
U uc,0.005,-0.002,-0.001,0.005,0.005,0.003,0.011,0.007,0.012,0.049
L uc,-0.034,-0.030,-0.030,-0.033,-0.036,-0.034,-0.035,-0.044,-0.043,-0.085
Mean Bootstrap r,0.031,-0.002,-0.009,-0.004,0.009,0.007,0.004,-0.023,0.010,-0.080
Ur error,0.020,0.015,0.018,0.019,0.022,0.015,0.021,0.021,0.037,0.058
Lr error,0.021,0.011,0.021,0.020,0.017,0.023,0.024,0.023,0.025,0.066
Ur,0.048,0.013,0.007,0.015,0.030,0.024,0.025,-0.003,0.045,-0.022
Lr,0.006,-0.013,-0.032,-0.024,-0.009,-0.015,-0.021,-0.047,-0.017,-0.147
Intercept,19.455,,,,,,,,,
,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,
