14,68,1,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
LTB1,LTB,274,274,403,405,335,338,0,0,357,357,339,342,217,232,223,226,214,220,400,403,345,372,176,179,392,392,350,350,,2,23
LTB2,LTB,274,274,405,407,335,335,370,376,351,357,342,348,217,232,217,223,0,0,400,400,345,372,179,179,392,392,350,353,,6,22
LTB3,LTB,274,278,403,403,335,338,370,358,357,357,342,342,217,226,217,217,214,223,403,409,345,372,176,176,386,392,353,359,,4,17
LTB4,LTB,274,274,403,405,335,335,370,385,357,357,342,348,217,232,217,226,214,220,409,409,345,372,164,176,392,392,356,359,,7,20
LTB5,LTB,274,278,403,405,335,335,370,358,357,357,342,342,217,211,217,226,214,223,403,409,345,372,164,176,392,392,350,359,,10,18
LTB6,LTB,274,274,405,407,335,335,370,358,357,357,342,342,217,211,217,253,220,223,406,409,345,372,164,176,392,392,350,350,,8,15
LTB7,LTB,274,278,405,407,335,335,370,358,357,357,330,330,214,229,217,226,202,211,0,0,0,0,0,0,0,0,0,0,,10,8
LTB8,LTB,274,274,401,403,335,335,370,358,357,357,342,342,214,211,217,229,211,217,400,409,345,372,167,176,392,392,350,359,,10,8
LTB9,LTB,274,274,403,405,335,335,370,358,357,357,342,342,217,232,214,247,223,223,409,412,372,378,164,176,383,392,350,350,,11,11
LTB10,LTB,274,274,405,407,335,335,370,376,357,357,342,342,214,235,217,223,202,211,427,427,387,387,194,194,410,419,365,374,,15,16
LTB11,LTB,274,274,403,405,335,335,370,358,357,357,342,342,217,226,220,226,223,223,400,412,345,372,164,164,392,392,350,353,,18,10
LTB12,LTB,274,274,405,407,332,335,370,358,345,357,342,348,217,226,214,220,214,223,400,409,345,372,164,176,392,392,350,359,,18,27
LTB13,LTB,276,280,403,403,335,335,0,0,357,357,330,342,232,211,223,226,223,223,403,409,345,372,176,176,392,392,353,359,,20,18
LTB14,LTB,272,274,405,405,335,335,370,358,357,357,333,342,217,211,217,229,214,223,403,409,345,372,164,167,377,383,350,359,,13,2
LTB15,LTB,274,274,403,405,317,338,0,0,357,357,330,342,217,232,217,226,214,220,400,403,345,372,164,164,389,392,350,350,,22,26
LTB16,LTB,276,276,403,405,335,335,0,0,357,357,342,342,232,211,223,226,223,223,403,403,372,378,164,176,392,392,350,359,,17,4
LTB17,LTB,274,276,405,407,335,335,0,0,357,357,342,342,217,226,226,253,220,220,400,409,345,372,173,176,383,392,350,359,,16,24
LTB18,LTB,274,276,401,403,335,338,370,358,357,357,342,342,217,226,220,235,220,220,400,409,345,372,164,164,392,395,350,359,,27,5
LTB19,LTB,274,276,405,405,335,335,370,358,357,357,342,342,232,211,217,217,205,223,409,409,345,372,164,164,392,392,350,359,,42,20
LTB20,LTB,274,274,403,403,335,335,370,358,351,363,342,342,217,226,214,214,220,223,409,412,351,378,176,176,392,392,350,353,,22,11
LTB21,LTB,274,278,403,405,335,335,0,0,357,357,342,345,217,226,214,217,220,223,409,409,345,372,164,164,383,392,350,350,,32,20
LTB22,LTB,278,278,401,405,335,338,370,358,357,357,342,342,217,226,217,229,214,223,403,409,345,372,164,176,392,392,350,350,,51,3
LTB23,LTB,274,274,405,407,335,335,0,0,357,357,342,342,226,232,217,223,214,223,409,409,345,372,164,179,392,392,350,353,,51,3
LTB24,LTB,274,274,403,403,335,335,0,0,357,357,342,342,226,211,226,226,214,223,403,406,345,372,176,176,383,392,350,365,,31,26
LTB25,LTB,274,278,405,407,335,335,370,358,357,357,339,342,214,229,226,229,202,223,400,409,345,372,164,179,392,395,350,359,,46,3
LTB26,LTB,274,278,405,407,335,335,370,358,357,357,339,342,214,229,226,229,202,223,400,409,345,372,164,179,392,395,350,359,,60,15
LTB27,LTB,274,274,401,403,335,335,370,358,351,351,342,342,226,211,220,223,220,220,400,403,345,372,164,179,389,392,353,359,,31,12
LTB28,LTB,274,274,403,405,335,335,370,358,357,357,342,342,214,229,214,214,202,217,400,403,345,372,164,164,389,392,350,350,,34,4
LTB29,LTB,272,278,405,413,335,338,370,358,357,357,342,342,217,232,223,226,214,223,403,409,345,372,164,164,392,392,353,359,,27,20
LTB30,LTB,274,274,405,407,335,335,370,358,357,357,342,342,217,211,214,217,220,223,400,403,345,372,164,167,389,392,350,359,,55,7
LTB31,LTB,274,274,403,405,335,338,370,358,357,357,342,342,223,229,217,217,211,217,400,409,345,372,164,164,392,398,350,353,,27,17
LTB32,LTB,272,278,403,413,335,338,370,358,351,357,342,342,214,229,214,229,211,217,403,409,345,372,164,176,392,392,359,359,,42,6
LTB33,LTB,274,276,403,403,335,335,370,358,357,357,330,342,217,226,232,235,223,223,400,409,345,372,164,164,392,398,350,359,,32,25
LTB34,LTB,274,274,405,405,335,335,370,358,357,357,342,342,217,232,217,217,214,223,400,406,345,372,164,179,383,392,350,359,,49,13
LTB35,LTB,274,278,403,403,335,335,0,0,357,357,342,342,217,211,229,229,220,223,400,400,345,372,179,179,392,392,350,359,,62,19
LTB36,LTB,272,274,403,403,335,335,0,0,357,357,342,342,217,211,205,217,214,220,400,409,345,372,164,164,383,392,350,356,,58,21
LTB37,LTB,274,274,403,405,335,335,0,0,357,357,342,342,217,232,226,229,220,223,409,412,345,372,164,176,392,392,350,359,,67,13
LTB38,LTB,274,280,403,403,335,335,370,358,357,357,330,330,226,232,214,217,220,223,403,409,345,372,164,164,389,392,350,350,,81,20
LTB39,LTB,274,274,403,405,335,335,370,358,357,357,342,342,226,232,217,226,214,220,409,409,345,372,164,164,377,392,356,359,,81,20
LTB40,LTB,274,274,405,403,335,335,370,358,357,357,336,342,217,211,226,226,223,223,406,406,345,372,164,176,392,392,353,359,,72,20
LTB41,LTB,274,274,403,409,335,335,370,358,357,357,342,342,226,232,217,217,214,223,409,409,345,372,164,176,392,392,350,359,,63,11
LTB42,LTB,274,278,403,405,335,338,370,358,357,357,330,342,214,223,226,235,202,211,400,400,345,372,164,179,392,392,353,359,,78,8
LTB43,LTB,274,274,401,405,335,335,370,358,357,357,348,348,217,232,217,232,220,223,409,400,345,372,164,164,392,398,350,359,,69,7
LTB44,LTB,274,274,403,403,335,338,0,0,357,357,342,345,217,232,220,226,220,220,400,403,345,372,164,167,383,392,350,353,,37,24
LTB45,LTB,274,274,403,407,335,335,370,358,348,357,330,342,217,211,226,229,223,223,403,409,345,372,173,176,389,392,350,350,,74,15
LTB46,LTB,274,274,405,405,335,335,0,0,357,363,342,342,217,211,217,229,220,223,400,403,345,372,164,164,383,392,350,359,,74,15
LTB47,LTB,274,274,405,405,335,335,370,358,351,357,330,342,232,211,220,229,223,223,400,409,345,372,164,164,383,392,350,353,,74,15
LTB48,LTB,274,278,403,407,335,335,370,358,351,357,342,342,214,229,223,226,211,211,403,409,345,372,164,176,389,392,350,365,,84,16
