1,65,1,65,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC1,LTC2,LTC3,LTC4,LTC5,LTC6,LTC7,LTC8,LTC9,LTC10,LTC11,LTC12,LTC13,LTC14,LTC15,LTC16,LTC17,LTC18,LTC19,LTC20,LTC21,LTC22,LTC23,LTC24,LTC25,LTC26,LTC27,LTC28,LTC29,LTC30,LTC31,LTC32,LTC33,LTC34,LTC35,LTC36,LTC37,LTC38,LTC39,LTC40,LTC41,LTC42,LTC43,LTC44,LTC45,LTC46,LTC47,LTC48,LTC49,LTC50,LTC51,LTC52,LTC53,LTC54,LTC55,LTC56,LTC57,LTC58,LTC59,LTC60,LTC61,LTC62,LTC63,LTC64,LTC65,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC1
13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC2
21,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC3
11,12,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC4
15,14,26,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC5
14,16,20,14,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC6
11,11,25,9,12,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC7
11,10,24,11,10,13,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC8
14,15,23,13,11,14,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC9
11,18,18,12,17,6,14,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC10
12,12,23,10,10,13,4,7,10,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC11
17,21,31,22,22,18,21,20,18,19,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC12
22,18,33,19,21,23,16,18,17,23,19,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC13
17,18,17,20,23,24,19,23,25,20,19,25,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC14
17,18,13,20,23,24,19,23,25,18,19,25,28,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC15
15,18,21,18,20,20,17,20,21,16,16,22,25,6,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC16
