1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC1,LTC2,LTC3,LTC4,LTC5,LTC6,LTC7,LTC8,LTC9,LTC10,LTC11,LTC12,LTC13,LTC14,LTC15,LTC16,LTC17,LTC18,LTC19,LTC20,LTC21,LTC22,LTC23,LTC24,LTC25,LTC26,LTC27,LTC28,LTC29,LTC30,LTC31,LTC32,LTC33,LTC34,LTC35,LTC36,LTC37,LTC38,LTC39,LTC40,LTC41,LTC42,LTC43,LTC44,LTC45,LTC46,LTC47,LTC48,LTC49,LTC50,LTC51,LTC52,LTC53,LTC54,LTC55,LTC56,LTC57,LTC58,LTC59,LTC60,LTC61,LTC62,LTC63,LTC64,LTC65,
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC1
20.591,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC2
11.402,15.033,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC3
37.000,17.117,32.016,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC4
10.000,10.770,7.071,27.659,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC5
16.125,8.246,15.811,21.471,8.944,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC6
15.811,15.297,20.000,26.249,13.038,7.071,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC7
19.647,15.033,22.627,23.345,15.556,7.616,4.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC8
14.866,7.000,8.062,24.083,5.000,9.434,15.524,17.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTC9
