Results of Spatial Structure Analysis,,,,,,,
,,,,,,,
Genetic Distance,GD,,,,,,
Geographic Distance,GGD,,,,,,
Data Title,,,,,,,
,,,,,,,
No. Samples,65,,,,,,
Even Distance Classes (Size = 15),,,,,,,
No. Dist. Classes,100,,,,,,
No. Permutations,99,,,,,,
No. Bootstraps,100,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
n,407,601,348,319,258,139,8
Distance Class (End Point),15,30,45,60,75,90,105
r,0.024,0.022,-0.008,-0.025,-0.045,-0.004,0.010
U,0.016,0.014,0.018,0.017,0.017,0.028,0.143
L,-0.017,-0.013,-0.016,-0.022,-0.035,-0.029,-0.124
P(r-rand >= r-data),0.020,0.010,0.830,0.990,1.000,0.650,0.410
P(r-rand <= r-data),0.990,1.000,0.180,0.020,0.010,0.360,0.600
Correction,0.016,0.016,0.016,0.016,0.016,0.016,0.016
r uc,0.008,0.006,-0.024,-0.040,-0.061,-0.019,-0.006
U uc,-0.000,-0.001,0.002,0.002,0.001,0.012,0.127
L uc,-0.033,-0.028,-0.032,-0.038,-0.051,-0.045,-0.140
Mean Bootstrap r,0.027,0.022,-0.010,-0.028,-0.046,-0.006,0.029
Ur error,0.027,0.020,0.019,0.017,0.017,0.027,0.138
Lr error,0.020,0.020,0.021,0.020,0.026,0.034,0.086
Ur,0.051,0.042,0.011,-0.008,-0.028,0.023,0.148
Lr,0.004,0.001,-0.029,-0.045,-0.071,-0.038,-0.077
Intercept,40.897,,,,,,
,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,
