Results of Spatial Structure Analysis,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,,,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,,,,,,,,,,,
Data Title,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No. Samples,65,,,,,,,,,,,,,,,,,,,
Even Distance Classes (Size = 5),,,,,,,,,,,,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,,,,,,,,,,,
No. Permutations,99,,,,,,,,,,,,,,,,,,,
No. Bootstraps,100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
n,53,153,201,214,222,165,133,105,110,114,117,88,99,92,67,76,37,26,7,1
Distance Class (End Point),5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
r,0.143,0.007,0.004,0.033,0.012,0.020,0.010,-0.016,-0.023,-0.019,-0.019,-0.040,-0.035,-0.054,-0.050,0.001,0.034,-0.070,-0.005,0.137
U,0.051,0.029,0.032,0.025,0.026,0.028,0.032,0.033,0.055,0.045,0.037,0.052,0.036,0.049,0.037,0.043,0.063,0.059,0.135,0.391
L,-0.063,-0.034,-0.021,-0.025,-0.025,-0.026,-0.027,-0.035,-0.035,-0.036,-0.037,-0.049,-0.041,-0.035,-0.056,-0.042,-0.052,-0.085,-0.157,-0.322
P(r-rand >= r-data),0.010,0.320,0.400,0.010,0.160,0.060,0.240,0.770,0.950,0.840,0.860,0.960,0.980,1.000,0.970,0.480,0.100,0.960,0.450,0.220
P(r-rand <= r-data),1.000,0.690,0.610,1.000,0.850,0.950,0.770,0.240,0.060,0.170,0.150,0.050,0.030,0.010,0.040,0.530,0.910,0.050,0.560,0.790
Correction,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
r uc,0.127,-0.009,-0.012,0.018,-0.004,0.004,-0.005,-0.032,-0.039,-0.035,-0.034,-0.056,-0.050,-0.069,-0.065,-0.015,0.018,-0.086,-0.021,0.122
U uc,0.035,0.013,0.016,0.010,0.011,0.012,0.016,0.018,0.039,0.030,0.021,0.036,0.020,0.033,0.021,0.028,0.048,0.043,0.120,0.375
L uc,-0.079,-0.050,-0.037,-0.041,-0.041,-0.042,-0.042,-0.050,-0.050,-0.052,-0.052,-0.065,-0.057,-0.051,-0.072,-0.058,-0.068,-0.100,-0.173,-0.337
Mean Bootstrap r,0.136,0.006,0.002,0.034,0.010,0.019,0.010,-0.017,-0.023,-0.018,-0.021,-0.041,-0.035,-0.053,-0.048,-0.002,0.037,-0.073,0.000,
Ur error,0.078,0.031,0.023,0.034,0.021,0.022,0.033,0.032,0.026,0.027,0.030,0.033,0.041,0.043,0.042,0.059,0.080,0.037,0.123,
Lr error,0.090,0.038,0.025,0.033,0.029,0.030,0.030,0.038,0.033,0.028,0.043,0.045,0.030,0.043,0.039,0.057,0.077,0.057,0.095,
Ur,0.221,0.038,0.027,0.067,0.032,0.042,0.044,0.016,0.003,0.008,0.012,-0.007,0.006,-0.011,-0.008,0.060,0.114,-0.034,0.117,
Lr,0.052,-0.032,-0.021,0.000,-0.017,-0.010,-0.020,-0.054,-0.056,-0.048,-0.061,-0.086,-0.065,-0.096,-0.088,-0.056,-0.043,-0.127,-0.100,
Intercept,36.976,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,
