1,60,1,60,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGA1,ZGA2,ZGA3,ZGA4,ZGA5,ZGA6,ZGA7,ZGA8,ZGA9,ZGA10,ZGA11,ZGA12,ZGA13,ZGA14,ZGA15,ZGA16,ZGA17,ZGA18,ZGA19,ZGA20,ZGA21,ZGA22,ZGA23,ZGA24,ZGA25,ZGA26,ZGA27,ZGA28,ZGA29,ZGA30,ZGA31,ZGA32,ZGA33,ZGA34,ZGA35,ZGA36,ZGA37,ZGA38,ZGA39,ZGA40,ZGA41,ZGA42,ZGA43,ZGA44,ZGA45,ZGA46,ZGA47,ZGA48,ZGA49,ZGA50,ZGA51,ZGA52,ZGA53,ZGA54,ZGA55,ZGA56,ZGA57,ZGA58,ZGA59,ZGA60,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA1
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA2
17,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA3
11,8,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA4
13,11,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA5
17,15,13,11,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA6
13,16,15,15,13,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA7
18,22,17,18,18,21,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA8
9,11,16,12,15,14,9,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA9
20,21,15,20,23,18,20,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA10
16,17,10,15,14,17,12,14,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA11
11,19,13,14,15,17,11,9,12,15,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA12
17,20,13,13,15,16,12,12,16,13,10,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA13
13,16,14,12,13,17,13,17,15,12,10,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA14
14,18,17,16,18,22,12,16,13,19,13,12,15,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA15
18,16,13,17,12,14,15,17,19,22,15,15,17,17,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA16
10,10,11,8,12,11,14,18,9,11,15,12,13,10,17,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA17
12,16,13,11,15,13,7,16,6,17,12,10,11,12,13,16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA18
11,13,16,13,13,18,8,13,10,18,15,13,13,10,7,16,13,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA19
18,20,15,16,19,16,9,18,14,17,11,11,11,14,14,19,15,10,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA20
10,12,12,14,8,17,11,18,11,20,10,12,16,14,12,11,14,11,9,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA21
16,19,13,15,18,14,15,16,18,12,12,11,11,12,15,16,10,16,12,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA22
15,10,9,15,12,19,14,21,14,15,10,14,15,13,12,17,14,16,14,12,10,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA23
14,17,11,11,13,14,7,14,13,16,9,10,11,9,9,14,13,9,8,12,10,10,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA24
14,13,14,12,18,11,12,20,10,15,13,15,16,10,17,16,12,7,12,14,13,17,17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA25
16,16,11,17,11,18,11,12,14,19,9,11,15,13,11,12,16,13,12,14,7,11,11,10,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA26
18,24,17,16,16,20,16,14,20,14,13,12,12,14,19,18,19,13,17,14,16,14,19,14,18,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA27
16,18,15,20,13,20,13,19,14,20,8,12,19,13,16,15,16,13,16,14,8,17,13,13,15,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA28
13,16,17,14,18,16,14,19,10,17,14,15,16,12,13,19,11,9,13,13,11,15,14,14,11,12,17,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA29
14,8,9,13,10,14,15,20,14,18,16,16,16,17,21,12,10,14,15,18,9,15,12,18,15,13,18,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA30
17,23,17,14,17,18,13,11,18,19,15,11,10,18,19,16,20,10,14,13,15,17,21,12,16,16,6,21,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA31
16,17,15,14,13,17,13,16,18,19,17,16,16,8,16,14,13,15,12,17,16,14,18,12,14,14,15,16,16,14,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA32
18,17,17,18,26,17,17,21,14,16,18,18,18,10,17,24,10,15,18,16,23,17,17,18,14,18,26,20,12,19,27,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA33
18,20,14,18,19,15,13,19,16,12,10,12,13,10,15,18,14,13,15,10,15,14,12,12,13,14,16,15,12,18,16,18,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA34
17,13,9,14,12,12,16,16,17,18,16,15,16,18,24,8,10,15,17,18,12,12,17,16,15,11,17,15,17,7,16,13,19,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA35
12,14,10,11,15,11,12,16,12,17,14,10,15,13,13,14,8,13,11,16,11,8,15,9,13,11,19,16,15,13,18,13,15,14,10,0,,,,,,,,,,,,,,,,,,,,,,,,,ZGA36
22,14,14,18,15,15,20,22,19,21,18,21,21,18,23,11,12,21,19,21,16,15,17,18,20,13,22,15,17,12,27,14,20,22,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,ZGA37
15,17,15,14,18,14,12,18,12,13,13,14,14,6,14,16,11,8,14,16,16,15,17,11,8,14,15,15,11,16,18,10,9,14,15,15,15,0,,,,,,,,,,,,,,,,,,,,,,,ZGA38
12,11,14,8,16,11,13,21,10,22,12,14,17,12,15,18,10,11,14,11,13,17,15,14,10,16,20,13,10,14,20,15,13,15,16,12,17,13,0,,,,,,,,,,,,,,,,,,,,,,ZGA39
12,14,14,16,9,19,11,17,13,22,10,13,17,11,14,12,13,13,11,15,5,15,12,11,16,7,16,6,11,12,17,14,18,14,13,13,14,15,11,0,,,,,,,,,,,,,,,,,,,,,ZGA40
13,21,16,14,19,15,15,14,15,17,12,8,11,12,13,18,17,10,14,15,13,13,16,12,15,13,11,18,14,16,10,17,19,13,18,15,25,12,18,17,0,,,,,,,,,,,,,,,,,,,,ZGA41
14,14,13,9,17,15,13,13,14,18,16,12,15,11,14,18,12,11,12,16,18,13,19,12,14,14,13,20,17,17,13,15,14,16,15,11,20,11,14,16,12,0,,,,,,,,,,,,,,,,,,,ZGA42
20,18,15,19,14,23,19,19,23,15,15,16,17,12,16,17,16,20,17,12,17,16,10,17,21,13,15,15,17,17,19,18,19,13,16,20,16,19,20,15,18,16,0,,,,,,,,,,,,,,,,,,ZGA43
19,15,11,10,21,14,15,19,15,16,15,13,12,13,17,19,12,9,16,12,21,14,17,14,12,18,16,21,14,14,16,15,13,15,15,14,20,11,13,21,13,9,18,0,,,,,,,,,,,,,,,,,ZGA44
18,11,10,11,10,15,16,18,17,17,15,19,14,15,21,12,12,14,14,18,12,16,14,14,14,14,17,16,15,9,17,13,21,19,9,17,11,14,15,13,19,17,16,15,0,,,,,,,,,,,,,,,,ZGA45
22,21,21,21,21,22,21,27,21,24,23,23,23,20,27,20,15,22,24,23,23,23,23,20,22,24,26,23,22,20,27,21,22,23,20,21,19,18,20,20,27,23,25,22,20,0,,,,,,,,,,,,,,,ZGA46
18,22,17,16,18,19,13,14,13,21,12,12,12,15,14,18,17,11,12,14,13,17,17,11,18,13,16,16,13,19,12,20,19,13,19,15,23,16,14,11,13,15,21,17,18,23,0,,,,,,,,,,,,,,ZGA47
19,23,20,19,20,18,10,16,14,17,12,14,13,14,18,20,15,11,15,9,16,18,18,14,16,14,15,12,12,19,16,18,16,13,19,19,20,14,12,11,18,16,19,17,17,22,11,0,,,,,,,,,,,,,ZGA48
15,19,11,13,14,14,9,11,15,13,10,9,10,7,10,13,13,9,7,12,11,8,15,5,10,9,11,14,14,16,10,8,16,10,12,8,19,10,16,13,10,11,15,12,14,24,13,15,0,,,,,,,,,,,,ZGA49
8,12,14,11,11,16,12,15,11,13,12,11,15,7,13,16,7,12,8,13,10,12,12,11,10,14,15,12,10,14,16,11,15,11,15,12,18,13,11,9,15,13,13,17,14,20,16,14,9,0,,,,,,,,,,,ZGA50
14,11,9,13,14,15,18,20,15,13,11,13,15,11,15,14,9,15,15,14,10,9,10,13,14,10,16,12,12,12,18,17,14,12,11,11,13,13,13,10,14,13,11,15,13,18,15,18,13,10,0,,,,,,,,,,ZGA51
20,24,21,20,17,26,20,22,23,25,17,17,20,17,18,18,21,21,18,23,16,19,19,15,24,17,20,20,20,21,22,19,29,22,23,20,22,20,22,17,19,23,22,23,20,13,19,24,18,19,20,0,,,,,,,,,ZGA52
18,19,17,14,16,19,15,19,16,16,15,16,14,9,18,16,10,14,15,16,19,18,19,14,16,19,19,15,16,19,21,15,15,15,20,17,20,13,14,13,20,14,19,16,16,21,15,11,15,11,16,24,0,,,,,,,,ZGA53
