1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGA1,ZGA2,ZGA3,ZGA4,ZGA5,ZGA6,ZGA7,ZGA8,ZGA9,ZGA10,ZGA11,ZGA12,ZGA13,ZGA14,ZGA15,ZGA16,ZGA17,ZGA18,ZGA19,ZGA20,ZGA21,ZGA22,ZGA23,ZGA24,ZGA25,ZGA26,ZGA27,ZGA28,ZGA29,ZGA30,ZGA31,ZGA32,ZGA33,ZGA34,ZGA35,ZGA36,ZGA37,ZGA38,ZGA39,ZGA40,ZGA41,ZGA42,ZGA43,ZGA44,ZGA45,ZGA46,ZGA47,ZGA48,ZGA49,ZGA50,ZGA51,ZGA52,ZGA53,ZGA54,ZGA55,ZGA56,ZGA57,ZGA58,ZGA59,ZGA60,
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA1
1.407,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA2
7.051,5.686,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA3
17.821,16.444,11.734,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA4
8.537,8.322,8.345,19.474,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA5
7.525,6.987,6.162,17.312,2.202,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA6
14.528,14.484,14.151,24.289,6.236,8.144,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA7
14.869,14.426,12.445,21.225,6.500,7.443,4.200,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA8
14.869,14.426,12.445,21.225,6.500,7.443,4.200,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA9
14.869,14.426,12.445,21.225,6.500,7.443,4.200,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA10
29.906,28.786,23.629,22.277,24.010,23.381,23.132,19.138,19.138,19.138,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA11
30.673,29.615,24.656,24.130,24.300,23.867,22.841,19.007,19.007,19.007,2.236,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA12
24.333,23.483,19.358,22.677,16.985,17.007,14.714,11.102,11.102,11.102,9.000,8.246,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA13
23.114,22.818,20.946,28.570,14.577,15.901,9.082,8.559,8.559,8.559,19.105,18.000,10.198,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA14
29.901,28.496,22.968,13.463,28.609,26.823,31.373,27.354,27.354,27.354,17.000,19.235,22.672,31.906,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA15
29.901,28.496,22.968,13.463,28.609,26.823,31.373,27.354,27.354,27.354,17.000,19.235,22.672,31.906,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA16
29.901,28.496,22.968,13.463,28.609,26.823,31.373,27.354,27.354,27.354,17.000,19.235,22.672,31.906,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA17
29.901,28.496,22.968,13.463,28.609,26.823,31.373,27.354,27.354,27.354,17.000,19.235,22.672,31.906,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA18
28.441,27.049,21.418,13.086,26.505,24.816,28.939,24.865,24.865,24.865,14.318,16.553,19.849,29.155,2.828,2.828,2.828,2.828,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA19
29.690,28.303,22.653,14.500,27.505,25.870,29.713,25.598,25.598,25.598,13.892,16.125,20.000,29.530,3.162,3.162,3.162,3.162,1.414,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA20
29.067,27.692,22.017,14.534,26.542,24.969,28.557,24.418,24.418,24.418,12.530,14.765,18.601,28.178,4.472,4.472,4.472,4.472,2.000,1.414,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGA21
