Results of Spatial Structure Analysis,,,,,,,,,,
,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,
Data Title,,,,,,,,,,
,,,,,,,,,,
No. Samples,60,,,,,,,,,
Even Distance Classes (Size = 10),,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,
No. Permutations,99,,,,,,,,,
No. Bootstraps,100,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
n,266,438,411,282,172,106,74,10,1,10
Distance Class (End Point),10,20,30,40,50,60,70,80,90,100
r,-0.005,0.009,0.001,-0.010,0.009,-0.006,-0.006,-0.041,0.170,-0.003
U,0.017,0.012,0.014,0.013,0.023,0.031,0.029,0.085,0.406,0.122
L,-0.018,-0.015,-0.013,-0.019,-0.028,-0.028,-0.044,-0.105,-0.327,-0.058
P(r-rand >= r-data),0.690,0.100,0.470,0.870,0.200,0.680,0.660,0.810,0.260,0.580
P(r-rand <= r-data),0.320,0.910,0.540,0.140,0.810,0.330,0.350,0.200,0.750,0.430
Correction,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
r uc,-0.022,-0.008,-0.016,-0.027,-0.008,-0.023,-0.023,-0.058,0.153,-0.020
U uc,0.000,-0.005,-0.003,-0.004,0.006,0.014,0.012,0.068,0.390,0.105
L uc,-0.035,-0.032,-0.030,-0.035,-0.044,-0.045,-0.061,-0.122,-0.344,-0.075
Mean Bootstrap r,-0.006,0.009,0.001,-0.010,0.009,-0.004,-0.006,-0.037,,-0.005
Ur error,0.019,0.017,0.018,0.019,0.031,0.030,0.037,0.072,,0.090
Lr error,0.020,0.019,0.018,0.022,0.033,0.035,0.042,0.071,,0.090
Ur,0.013,0.025,0.019,0.009,0.040,0.024,0.031,0.031,,0.087
Lr,-0.025,-0.010,-0.017,-0.031,-0.024,-0.041,-0.048,-0.113,,-0.093
Intercept,30.760,,,,,,,,,
,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,
