Results of Spatial Structure Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Samples,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Even Distance Classes (Size = 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Permutations,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Bootstraps,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,33,36,50,66,81,67,96,77,97,101,94,80,69,73,95,75,37,58,50,62,39,49,25,28,31,23,17,18,25,23,9,16,18,18,13,4,3
Distance Class (End Point),2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74
r,-0.016,0.032,-0.024,-0.027,0.011,0.051,-0.000,0.023,-0.003,-0.009,0.012,0.006,-0.031,0.007,0.004,-0.012,-0.023,0.005,-0.005,-0.017,0.031,0.009,-0.010,0.029,-0.021,-0.083,-0.026,0.068,-0.032,0.055,-0.044,-0.044,0.056,-0.030,0.015,-0.150,0.016
U,0.055,0.066,0.053,0.038,0.031,0.049,0.027,0.041,0.022,0.039,0.038,0.034,0.039,0.036,0.034,0.037,0.063,0.041,0.051,0.046,0.046,0.045,0.054,0.063,0.064,0.066,0.084,0.073,0.076,0.060,0.098,0.080,0.092,0.083,0.093,0.175,0.146
L,-0.057,-0.053,-0.055,-0.051,-0.040,-0.042,-0.036,-0.044,-0.041,-0.035,-0.034,-0.026,-0.035,-0.044,-0.038,-0.044,-0.081,-0.046,-0.061,-0.048,-0.050,-0.059,-0.073,-0.056,-0.075,-0.079,-0.089,-0.088,-0.070,-0.078,-0.135,-0.097,-0.091,-0.080,-0.102,-0.192,-0.197
P(r-rand >= r-data),0.700,0.160,0.820,0.880,0.290,0.020,0.510,0.170,0.520,0.670,0.290,0.410,0.930,0.410,0.410,0.720,0.780,0.380,0.600,0.790,0.110,0.410,0.570,0.170,0.710,0.990,0.680,0.050,0.810,0.080,0.710,0.850,0.140,0.750,0.420,0.950,0.400
