Results of Spatial Structure Analysis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,,,,,,,
Data Title,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No. Samples,60,,,,,,,,,,,,,,,
Even Distance Classes (Size = 5),,,,,,,,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,,,,,,,
No. Permutations,99,,,,,,,,,,,,,,,
No. Bootstraps,100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
n,94,172,215,223,216,195,140,142,105,67,47,59,36,38,7,3
Distance Class (End Point),5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
r,0.005,-0.011,0.021,-0.003,0.002,-0.001,-0.015,-0.004,0.011,0.007,-0.037,0.019,-0.023,0.009,-0.081,0.034
U,0.025,0.026,0.025,0.020,0.023,0.024,0.028,0.032,0.029,0.043,0.049,0.044,0.061,0.047,0.115,0.215
L,-0.032,-0.025,-0.021,-0.020,-0.023,-0.025,-0.027,-0.029,-0.041,-0.056,-0.053,-0.040,-0.062,-0.073,-0.098,-0.167
P(r-rand >= r-data),0.390,0.840,0.060,0.510,0.460,0.520,0.840,0.610,0.170,0.410,0.930,0.210,0.790,0.340,0.970,0.370
P(r-rand <= r-data),0.620,0.170,0.950,0.500,0.550,0.490,0.170,0.400,0.840,0.600,0.080,0.800,0.220,0.670,0.040,0.640
Correction,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
r uc,-0.012,-0.028,0.004,-0.020,-0.015,-0.018,-0.032,-0.021,-0.006,-0.010,-0.054,0.002,-0.040,-0.007,-0.098,0.018
U uc,0.008,0.009,0.008,0.003,0.007,0.007,0.011,0.015,0.012,0.026,0.032,0.027,0.044,0.030,0.098,0.198
L uc,-0.049,-0.042,-0.038,-0.037,-0.040,-0.042,-0.044,-0.046,-0.058,-0.073,-0.070,-0.057,-0.079,-0.090,-0.115,-0.184
Mean Bootstrap r,0.005,-0.012,0.021,-0.003,0.003,-0.002,-0.018,-0.005,0.010,0.009,-0.039,0.018,-0.026,0.008,-0.094,
Ur error,0.036,0.027,0.024,0.024,0.026,0.023,0.023,0.026,0.028,0.059,0.043,0.048,0.035,0.054,0.092,
Lr error,0.044,0.029,0.025,0.028,0.022,0.024,0.035,0.039,0.042,0.045,0.049,0.050,0.036,0.056,0.142,
Ur,0.041,0.016,0.045,0.021,0.029,0.022,0.008,0.021,0.039,0.066,0.006,0.067,0.012,0.064,0.011,
Lr,-0.038,-0.040,-0.004,-0.031,-0.020,-0.025,-0.051,-0.043,-0.032,-0.038,-0.086,-0.031,-0.059,-0.046,-0.224,
Intercept,6.603,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,
