14,60,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ25,,CMJ26,,CMJ43,,CMJ65,,CMJ68,,CMJ77,,CMJ116,,CMJ123,,CMJ134,,CMJ206,,CMJ214,,CMJ230,,CMJ231,,CMJ241,,,x,y
ZGA1,ZA,278,278,421,427,335,335,364,364,357,357,342,348,233,242,208,208,221,224,409,409,345,372,170,170,386,386,350,350,,2.707,1
ZGA2,ZA,278,282,423,423,335,338,364,364,357,357,342,348,233,233,208,223,224,224,409,409,345,372,170,170,392,392,350,350,,4.1,1.2
ZGA3,ZA,278,282,423,423,335,335,364,364,351,357,333,342,233,233,214,217,215,224,400,409,345,372,170,182,392,392,350,350,,9.3,3.5
ZGA4,ZA,278,280,419,427,335,335,364,364,357,357,342,342,233,233,208,217,224,224,409,409,345,372,170,182,392,392,350,350,,20.5,0
ZGA5,ZA,280,280,423,423,335,335,364,364,357,357,342,342,233,242,208,217,215,221,409,409,345,372,170,170,383,392,350,350,,3.5,9.5
ZGA6,ZA,278,278,419,427,335,335,364,364,351,357,330,342,233,248,217,250,224,224,406,406,342,345,170,170,392,392,350,350,,5.2,8.1
ZGA7,ZA,278,278,421,427,335,344,364,364,357,357,339,342,242,248,217,223,215,215,403,409,345,372,170,170,383,392,350,350,,1.8,15.5
ZGA8,ZA,278,278,421,433,335,338,364,364,351,357,342,342,233,242,217,217,215,221,403,409,372,375,173,185,389,389,350,350,,6,15.5
ZGA9,ZA,278,278,421,427,335,338,364,364,357,357,342,348,233,248,208,208,215,224,403,409,345,351,170,170,383,392,353,350,,6,15.5
ZGA10,ZA,278,282,421,427,335,335,364,364,351,357,348,348,233,248,217,250,221,221,400,400,345,372,173,185,392,392,350,359,,6,15.5
ZGA11,ZA,278,278,423,430,335,335,364,364,357,357,339,342,233,242,217,220,215,221,400,400,345,372,170,182,389,392,350,353,,24,22
ZGA12,ZA,278,278,421,427,335,335,364,364,351,357,339,342,233,242,208,217,215,221,400,409,345,372,170,182,389,389,350,353,,23,24
ZGA13,ZA,278,280,421,427,335,335,364,364,357,363,339,342,233,248,217,220,215,221,397,412,345,372,182,185,389,392,350,350,,15,22
ZGA14,ZA,278,280,421,421,335,335,364,364,357,357,342,348,242,242,217,220,221,224,400,409,345,372,170,182,392,392,350,359,,5,24
ZGA15,ZA,278,278,421,421,335,338,364,364,357,357,339,342,242,242,208,208,206,215,400,409,345,372,173,182,392,392,350,350,,32,7
