1,53,1,53,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGB1,ZGB2,ZGB3,ZGB4,ZGB5,ZGB6,ZGB7,ZGB8,ZGB9,ZGB10,ZGB11,ZGB12,ZGB13,ZGB14,ZGB15,ZGB16,ZGB17,ZGB18,ZGB19,ZGB20,ZGB21,ZGB22,ZGB23,ZGB24,ZGB25,ZGB26,ZGB27,ZGB28,ZGB29,ZGB30,ZGB31,ZGB32,ZGB33,ZGB34,ZGB35,ZGB36,ZGB37,ZGB38,ZGB39,ZGB40,ZGB41,ZGB42,ZGB43,ZGB44,ZGB45,ZGB46,ZGB47,ZGB48,ZGB49,ZGB50,ZGB51,ZGB52,ZGB53,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB1
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB2
17,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB3
23,16,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB4
19,11,16,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB5
20,12,13,19,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB6
14,17,15,20,19,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB7
17,17,15,19,15,14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB8
21,13,19,24,14,15,17,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB9
17,12,23,19,14,15,15,17,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB10
19,12,15,16,13,11,15,15,13,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB11
19,16,21,18,19,12,16,17,20,17,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB12
21,13,17,14,11,10,14,11,15,12,11,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB13
15,10,14,18,10,11,15,12,15,17,14,12,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB14
13,13,18,18,15,14,15,15,19,15,12,20,17,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB15
15,17,22,20,20,18,15,20,20,17,17,18,17,15,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB16
16,20,18,23,19,21,23,20,23,21,15,23,19,19,20,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB17
15,12,15,14,13,17,17,20,13,16,10,18,15,12,13,18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB18
24,22,25,22,21,23,23,24,29,26,23,27,23,21,23,24,27,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB19
14,19,25,25,23,18,17,20,23,19,19,20,20,15,20,8,23,21,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB20
18,15,18,13,13,12,17,14,15,12,11,15,9,15,16,16,16,13,22,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB21
25,28,18,26,22,26,27,19,32,33,24,28,21,21,27,26,21,24,15,27,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB22
18,13,16,20,12,11,16,14,12,15,11,14,10,9,15,19,15,11,26,18,11,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB23
16,15,16,18,16,14,11,15,14,13,12,19,13,14,16,14,19,15,25,18,13,24,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB24
13,11,12,14,13,12,11,11,17,14,10,17,12,11,10,14,15,10,21,14,13,18,13,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB25
22,18,17,17,17,17,23,18,24,20,13,19,14,12,21,16,16,18,24,18,14,19,14,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB26
13,17,26,19,17,21,17,19,20,14,16,19,14,16,18,7,20,17,24,11,13,26,17,12,15,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB27
17,17,20,19,16,16,15,15,17,16,16,15,14,13,15,12,26,18,25,13,16,26,16,18,15,18,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB28
