1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGB1,ZGB2,ZGB3,ZGB4,ZGB5,ZGB6,ZGB7,ZGB8,ZGB9,ZGB10,ZGB11,ZGB12,ZGB13,ZGB14,ZGB15,ZGB16,ZGB17,ZGB18,ZGB19,ZGB20,ZGB21,ZGB22,ZGB23,ZGB24,ZGB25,ZGB26,ZGB27,ZGB28,ZGB29,ZGB30,ZGB31,ZGB32,ZGB33,ZGB34,ZGB35,ZGB36,ZGB37,ZGB38,ZGB39,ZGB40,ZGB41,ZGB42,ZGB43,ZGB44,ZGB45,ZGB46,ZGB47,ZGB48,ZGB49,ZGB50,ZGB51,ZGB52,ZGB53,
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB1
5.346,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB2
12.042,6.912,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB3
18.111,12.766,6.708,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB4
12.083,7.140,6.083,7.616,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB5
14.422,9.909,9.000,8.485,3.162,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB6
13.454,10.009,11.402,12.042,5.385,3.606,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB7
17.692,13.674,13.038,11.180,7.280,4.123,4.472,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB8
15.620,11.462,11.000,10.000,5.099,2.000,3.000,2.236,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB9
