Results of Spatial Structure Analysis,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,,,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,,,,,,,,,,,
Data Title,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No. Samples,53,,,,,,,,,,,,,,,,,,,
Even Distance Classes (Size = 5),,,,,,,,,,,,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,,,,,,,,,,,
No. Permutations,99,,,,,,,,,,,,,,,,,,,
No. Bootstraps,100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
n,66,132,185,144,108,51,37,35,23,27,23,47,73,69,100,96,83,26,35,18
Distance Class (End Point),5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
r,0.088,-0.009,-0.009,-0.000,-0.019,-0.010,-0.003,0.013,0.015,-0.005,0.031,-0.015,-0.006,-0.021,0.026,0.002,-0.043,0.066,-0.032,0.089
U,0.054,0.028,0.022,0.029,0.030,0.046,0.042,0.042,0.062,0.048,0.062,0.048,0.033,0.034,0.027,0.029,0.031,0.054,0.056,0.076
L,-0.042,-0.028,-0.029,-0.031,-0.026,-0.048,-0.050,-0.049,-0.065,-0.066,-0.065,-0.037,-0.033,-0.034,-0.029,-0.032,-0.040,-0.069,-0.067,-0.082
P(r-rand >= r-data),0.010,0.780,0.830,0.520,0.920,0.740,0.480,0.310,0.270,0.620,0.160,0.700,0.540,0.940,0.040,0.410,0.990,0.010,0.860,0.020
P(r-rand <= r-data),1.000,0.230,0.180,0.490,0.090,0.270,0.530,0.700,0.740,0.390,0.850,0.310,0.470,0.070,0.970,0.600,0.020,1.000,0.150,0.990
Correction,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
r uc,0.069,-0.028,-0.029,-0.020,-0.038,-0.029,-0.023,-0.006,-0.004,-0.024,0.012,-0.035,-0.025,-0.040,0.007,-0.017,-0.062,0.047,-0.051,0.070
U uc,0.035,0.008,0.003,0.009,0.011,0.027,0.023,0.023,0.043,0.028,0.042,0.029,0.014,0.015,0.008,0.010,0.012,0.035,0.037,0.057
L uc,-0.062,-0.047,-0.048,-0.050,-0.045,-0.067,-0.069,-0.068,-0.085,-0.085,-0.084,-0.056,-0.052,-0.053,-0.048,-0.051,-0.059,-0.089,-0.086,-0.101
Mean Bootstrap r,0.087,-0.008,-0.010,0.004,-0.020,-0.012,-0.005,0.009,0.016,-0.005,0.029,-0.014,-0.003,-0.022,0.024,0.005,-0.045,0.064,-0.033,0.092
Ur error,0.042,0.027,0.021,0.028,0.042,0.029,0.059,0.043,0.070,0.049,0.059,0.060,0.046,0.035,0.032,0.026,0.038,0.050,0.047,0.043
Lr error,0.042,0.029,0.023,0.022,0.049,0.042,0.065,0.048,0.057,0.056,0.081,0.068,0.043,0.040,0.043,0.011,0.035,0.056,0.060,0.045
Ur,0.131,0.019,0.012,0.028,0.023,0.019,0.056,0.056,0.085,0.044,0.090,0.045,0.040,0.014,0.058,0.028,-0.005,0.116,0.015,0.131
Lr,0.046,-0.037,-0.032,-0.023,-0.068,-0.052,-0.068,-0.035,-0.042,-0.062,-0.049,-0.084,-0.048,-0.061,-0.017,-0.008,-0.078,0.010,-0.092,0.044
Intercept,9.554,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,
