14,53,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ25,,CMJ26,,CMJ43,,CMJ65,,CMJ68,,CMJ77,,CMJ116,,CMJ123,,CMJ134,,CMJ206,,CMJ214,,CMJ230,,CMJ231,,CMJ241,,,X,Y
ZGB1,ZGB,276,278,419,427,335,335,364,364,351,357,333,348,242,242,208,208,221,224,409,409,345,372,170,185,377,392,353,359,,4,2
ZGB2,ZGB,278,278,421,427,335,338,364,364,351,357,342,348,236,236,208,217,215,221,403,409,345,360,170,182,389,392,350,350,,9.3,2.7
ZGB3,ZGB,276,276,421,427,335,335,364,364,351,357,348,348,233,233,217,250,215,224,400,400,345,372,170,182,377,392,350,359,,16,1
ZGB4,ZGB,282,282,419,424,335,338,364,364,354,357,330,342,233,233,217,217,215,221,403,409,345,372,170,170,392,392,350,350,,22,4
ZGB5,ZGB,278,278,421,427,335,338,364,364,351,357,342,348,242,248,223,250,221,221,400,400,342,345,170,182,383,392,350,350,,15,7
ZGB6,ZGB,278,278,421,427,335,335,364,364,357,363,342,348,233,233,208,217,215,224,400,409,342,351,182,182,383,392,350,350,,16,10
ZGB7,ZGB,276,278,421,421,335,335,364,364,357,357,339,342,233,248,208,250,224,224,409,409,345,372,170,173,377,392,350,356,,13,12
ZGB8,ZGB,278,278,421,421,332,335,364,364,357,363,342,348,233,233,220,223,221,224,400,409,345,372,170,173,392,392,353,359,,17,14
ZGB9,ZGB,278,278,421,421,335,335,364,364,351,357,342,342,242,242,217,250,215,224,400,403,345,372,182,185,389,389,350,350,,16,12
ZGB10,ZGB,278,278,421,421,335,338,364,364,351,357,342,342,242,242,217,217,221,224,409,409,345,372,182,185,392,398,350,350,,4.5,10
ZGB11,ZGB,276,278,421,427,335,338,364,364,357,363,339,342,233,242,217,220,221,224,403,412,345,372,182,182,392,401,350,350,,4.5,10
ZGB12,ZGB,278,278,425,425,335,335,364,364,357,357,342,342,233,233,208,217,215,221,409,409,345,372,170,182,383,383,350,359,,4.5,10
ZGB13,ZGB,278,278,421,430,335,335,364,364,357,357,342,342,233,233,217,220,221,221,400,409,345,372,170,182,383,392,350,350,,4.5,10
ZGB14,ZGB,278,278,421,423,317,335,364,364,351,357,342,348,233,248,208,208,215,221,400,403,345,372,170,182,383,392,350,359,,3.5,16
ZGB15,ZGB,278,278,419,427,335,338,364,364,357,357,333,348,242,248,217,220,224,224,403,409,345,351,170,182,392,392,350,359,,17,16
ZGB16,ZGB,274,278,423,423,335,335,364,364,351,357,339,339,233,242,208,241,215,221,409,409,345,372,173,185,392,395,350,350,,22,24.5
ZGB17,ZGB,276,276,419,427,335,335,364,364,351,351,342,342,233,242,220,250,221,221,403,409,345,351,182,182,392,392,353,359,,22,19
ZGB18,ZGB,276,278,419,427,335,335,364,364,351,357,330,342,242,248,217,250,215,221,403,403,345,372,170,182,392,401,350,362,,45,12
ZGB19,ZGB,0,0,0,0,335,338,0,0,351,363,333,342,233,248,205,208,221,224,400,409,345,351,170,170,392,395,350,350,,50,3
ZGB20,ZGB,278,278,423,423,335,335,364,364,351,357,339,339,233,242,208,208,0,0,409,409,345,372,182,185,392,392,350,353,,54,15
ZGB21,ZGB,278,284,419,424,335,335,364,364,357,363,342,342,233,242,217,223,221,227,400,409,345,372,167,182,392,392,350,350,,68,24
ZGB22,ZGB,0,0,0,0,335,335,0,0,351,357,339,348,233,233,220,250,221,221,400,400,345,372,170,182,392,392,353,359,,74.5,24
ZGB23,ZGB,278,278,421,427,335,335,361,364,357,357,342,342,233,242,208,250,215,221,400,403,345,372,182,182,392,392,350,359,,74.5,6
ZGB24,ZGB,274,274,421,421,335,335,364,364,357,357,342,348,233,242,208,250,221,224,403,409,345,372,182,185,392,392,350,350,,74.5,1
ZGB25,ZGB,278,280,421,427,335,335,364,364,351,357,339,348,233,248,214,217,221,224,403,409,345,372,170,182,392,392,350,353,,79.5,2
ZGB26,ZGB,274,280,423,423,335,338,364,364,351,357,342,354,233,233,208,217,221,221,400,412,345,372,182,182,392,392,350,359,,79.5,2
ZGB27,ZGB,274,278,423,423,335,335,364,364,357,369,339,342,242,242,208,220,221,221,409,409,345,372,170,185,392,392,350,350,,79.5,2
ZGB28,ZGB,278,278,423,423,335,338,364,364,357,357,339,342,233,242,211,211,215,224,400,409,345,372,170,185,383,392,350,353,,88,0
ZGB29,ZGB,278,278,423,430,335,335,364,364,357,357,339,342,233,233,208,217,221,224,400,403,345,372,182,185,377,392,350,359,,90,2
ZGB30,ZGB,280,280,423,423,335,338,364,364,357,369,339,345,242,248,208,208,224,224,400,409,345,348,170,170,389,392,350,359,,96,5.5
ZGB31,ZGB,278,280,419,424,335,338,364,364,357,357,339,342,233,242,208,217,221,221,406,409,345,372,170,182,383,392,350,350,,99.5,5.5
ZGB32,ZGB,274,278,421,427,335,335,364,364,357,357,348,354,233,242,208,208,221,221,409,409,345,372,182,182,392,392,350,350,,99.5,5.5
ZGB33,ZGB,278,280,421,427,335,338,364,364,348,357,339,342,233,248,208,208,221,224,406,409,345,372,170,182,383,392,350,350,,99.5,5.5
ZGB34,ZGB,278,278,423,423,335,338,364,364,357,357,339,342,233,248,208,241,221,221,409,412,345,372,170,185,392,392,350,350,,96,8.5
ZGB35,ZGB,278,278,421,427,335,335,364,364,351,351,342,354,233,242,208,208,221,224,403,409,345,351,182,185,383,392,350,350,,90,15
ZGB36,ZGB,278,278,421,427,335,335,364,364,351,357,342,348,233,242,205,217,221,224,403,409,345,351,170,170,389,392,350,359,,86,6
ZGB37,ZGB,278,278,421,427,335,335,364,364,357,357,342,348,242,242,205,208,215,224,403,403,345,351,170,182,389,392,350,350,,86,6
ZGB38,ZGB,276,278,421,427,335,335,364,364,357,357,342,342,242,242,205,208,215,224,400,403,345,351,164,170,383,389,350,350,,86,6
