1,73,1,73,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC1
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC2
12,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC3
23,24,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC4
21,20,14,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC5
15,21,18,24,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC6
9,15,8,25,16,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC7
9,14,10,24,22,12,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC8
21,25,16,21,9,27,15,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC9
16,18,10,20,24,22,15,10,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC10
10,15,9,23,16,15,8,10,16,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC11
16,20,17,28,24,16,18,17,29,19,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC12
16,17,20,20,23,16,18,19,22,20,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC13
17,15,16,21,21,23,15,17,22,20,20,23,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC14
9,18,13,22,19,11,12,11,16,16,10,17,11,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC15
17,19,9,23,19,23,12,15,18,16,15,22,18,16,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC16
25,24,20,33,26,29,20,20,27,23,19,22,23,28,22,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC17
9,13,11,23,24,23,10,11,23,9,11,20,20,17,14,15,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC18
14,24,19,31,30,25,15,17,25,20,17,16,25,26,16,23,24,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC19
15,18,8,23,12,18,11,17,16,18,15,18,18,16,13,14,24,17,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC20
13,10,10,31,20,19,14,15,24,18,14,18,18,17,17,16,24,15,25,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC21
