1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC1
3.536,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC2
13.901,10.424,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC3
22.023,18.507,8.188,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC4
26.401,23.377,17.688,15.033,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC5
24.839,22.327,19.315,18.974,5.831,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC6
22.204,19.912,18.222,19.235,8.246,3.162,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC7
22.847,21.225,21.759,23.854,13.000,7.280,5.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC8
22.847,21.225,21.759,23.854,13.000,7.280,5.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC9
