Results of Spatial Structure Analysis,,,,,,,,,,
,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,
Data Title,,,,,,,,,,
,,,,,,,,,,
No. Samples,73,,,,,,,,,
Even Distance Classes (Size = 10),,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,
No. Permutations,99,,,,,,,,,
No. Bootstraps,100,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
n,300,551,466,383,283,213,165,124,96,47
Distance Class (End Point),10,20,30,40,50,60,70,80,90,100
r,0.018,0.003,0.002,0.011,-0.000,-0.018,-0.019,-0.027,-0.011,-0.009
U,0.018,0.014,0.014,0.015,0.017,0.018,0.031,0.025,0.032,0.046
L,-0.017,-0.012,-0.010,-0.017,-0.021,-0.027,-0.031,-0.032,-0.031,-0.046
P(r-rand >= r-data),0.020,0.350,0.460,0.100,0.480,0.910,0.910,0.960,0.830,0.600
P(r-rand <= r-data),0.990,0.660,0.550,0.910,0.530,0.100,0.100,0.050,0.180,0.410
Correction,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
r uc,0.004,-0.011,-0.012,-0.003,-0.014,-0.031,-0.033,-0.041,-0.025,-0.022
U uc,0.004,-0.000,0.000,0.001,0.003,0.004,0.017,0.011,0.018,0.032
L uc,-0.031,-0.026,-0.024,-0.031,-0.035,-0.041,-0.045,-0.046,-0.045,-0.060
Mean Bootstrap r,0.020,0.002,0.001,0.012,-0.003,-0.019,-0.021,-0.026,-0.014,-0.003
Ur error,0.021,0.013,0.016,0.018,0.021,0.018,0.019,0.032,0.018,0.041
Lr error,0.022,0.016,0.017,0.019,0.026,0.029,0.038,0.036,0.025,0.037
Ur,0.039,0.016,0.018,0.029,0.021,0.001,0.000,0.005,0.007,0.033
Lr,-0.003,-0.013,-0.015,-0.008,-0.027,-0.047,-0.057,-0.064,-0.036,-0.045
Intercept,49.759,,,,,,,,,
,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,
