Results of Spatial Structure Analysis,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Genetic Distance,GD,,,,,,,,,,,,,,,,,,,
Geographic Distance,GGD,,,,,,,,,,,,,,,,,,,
Data Title,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No. Samples,73,,,,,,,,,,,,,,,,,,,
Even Distance Classes (Size = 5),,,,,,,,,,,,,,,,,,,,
No. Dist. Classes,100,,,,,,,,,,,,,,,,,,,
No. Permutations,99,,,,,,,,,,,,,,,,,,,
No. Bootstraps,100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
n,110,190,267,284,268,198,197,186,130,153,112,101,89,76,66,58,59,37,26,21
Distance Class (End Point),5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
r,0.021,0.016,0.019,-0.011,0.007,-0.006,0.011,0.011,0.007,-0.007,-0.014,-0.022,-0.014,-0.025,-0.028,-0.027,-0.024,0.008,-0.016,0.001
U,0.028,0.023,0.019,0.019,0.021,0.025,0.019,0.026,0.036,0.032,0.033,0.031,0.033,0.044,0.030,0.042,0.048,0.062,0.068,0.077
L,-0.035,-0.024,-0.021,-0.023,-0.021,-0.023,-0.028,-0.026,-0.028,-0.028,-0.029,-0.033,-0.038,-0.043,-0.057,-0.052,-0.052,-0.070,-0.054,-0.091
P(r-rand >= r-data),0.090,0.110,0.040,0.850,0.220,0.650,0.130,0.230,0.290,0.720,0.840,0.920,0.810,0.880,0.850,0.860,0.780,0.400,0.660,0.470
P(r-rand <= r-data),0.920,0.900,0.970,0.160,0.790,0.360,0.880,0.780,0.720,0.290,0.170,0.090,0.200,0.130,0.160,0.150,0.230,0.610,0.350,0.540
Correction,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
r uc,0.007,0.003,0.005,-0.025,-0.007,-0.020,-0.003,-0.003,-0.007,-0.021,-0.028,-0.035,-0.028,-0.039,-0.042,-0.040,-0.037,-0.006,-0.029,-0.013
U uc,0.014,0.010,0.005,0.005,0.007,0.011,0.005,0.012,0.022,0.018,0.019,0.017,0.019,0.030,0.016,0.028,0.034,0.048,0.054,0.063
L uc,-0.049,-0.038,-0.035,-0.036,-0.035,-0.037,-0.042,-0.040,-0.042,-0.042,-0.043,-0.047,-0.052,-0.057,-0.071,-0.066,-0.065,-0.084,-0.068,-0.104
Mean Bootstrap r,0.023,0.018,0.019,-0.009,0.006,-0.006,0.012,0.010,0.006,-0.006,-0.012,-0.020,-0.016,-0.025,-0.030,-0.029,-0.021,0.008,-0.014,0.001
Ur error,0.037,0.033,0.024,0.026,0.017,0.026,0.025,0.024,0.029,0.028,0.040,0.035,0.026,0.032,0.034,0.053,0.037,0.065,0.051,0.050
Lr error,0.038,0.022,0.028,0.022,0.025,0.030,0.022,0.028,0.033,0.024,0.026,0.035,0.031,0.033,0.049,0.060,0.034,0.066,0.047,0.058
Ur,0.058,0.050,0.042,0.015,0.024,0.020,0.036,0.035,0.037,0.021,0.026,0.014,0.011,0.006,0.006,0.026,0.013,0.073,0.035,0.051
Lr,-0.016,-0.006,-0.009,-0.033,-0.017,-0.035,-0.011,-0.016,-0.026,-0.031,-0.040,-0.056,-0.046,-0.059,-0.077,-0.086,-0.057,-0.059,-0.062,-0.057
Intercept,18.120,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,
