14,73,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SIXE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
ZGC1,ZGC,278,280,421,421,335,335,364,364,357,357,342,348,233,248,208,223,224,224,400,409,345,372,170,182,392,392,350,353,,2,2
ZGC2,ZGC,278,280,421,427,335,335,364,364,357,357,339,339,248,248,208,217,221,224,400,409,345,351,182,182,380,392,353,359,,5.5,2.5
ZGC3,ZGC,278,278,423,423,335,335,364,364,351,357,342,342,242,248,208,208,221,224,400,409,345,351,170,182,392,392,350,359,,15.9,1.8
ZGC4,ZGC,280,280,419,427,332,338,364,364,0,0,342,348,0,0,217,223,221,221,406,409,345,372,170,185,380,392,353,353,,24,3
ZGC5,ZGC,280,280,423,423,335,335,364,364,0,0,339,342,0,0,208,208,215,221,400,403,351,378,170,182,392,392,350,359,,23,18
ZGC6,ZGC,276,280,421,427,335,335,364,364,357,357,342,342,230,230,217,250,221,221,400,400,345,372,170,170,392,392,350,350,,18,21
ZGC7,ZGC,276,278,423,433,335,335,364,364,351,357,333,342,233,248,208,208,215,224,403,409,345,372,170,182,392,392,350,353,,15,20
ZGC8,ZGC,274,278,421,430,335,335,364,364,357,357,342,342,230,248,208,217,221,224,409,409,345,372,170,173,392,392,350,359,,11,23
ZGC9,ZGC,278,280,423,423,335,335,364,364,0,0,330,348,0,0,208,208,206,215,403,409,345,351,170,170,389,392,350,356,,11,23
ZGC10,ZGC,278,278,419,430,335,338,364,364,357,363,342,342,242,242,208,217,221,224,409,409,345,351,170,185,392,392,353,359,,8,21
ZGC11,ZGC,278,280,419,427,335,335,364,364,357,363,333,342,242,248,208,208,215,224,400,409,345,372,170,170,392,392,350,359,,3,22
ZGC12,ZGC,278,280,419,427,335,335,0,0,357,357,342,342,233,242,217,229,221,224,400,403,342,345,176,182,392,392,350,350,,3,22
ZGC13,ZGC,280,284,419,427,335,335,364,364,357,357,342,348,233,242,205,217,215,221,400,406,345,360,170,182,389,389,350,353,,3,22
ZGC14,ZGC,278,280,423,423,335,335,364,364,351,357,339,339,233,248,220,223,221,221,409,409,345,372,176,185,392,398,350,353,,35.8,3.5
ZGC15,ZGC,278,280,421,421,335,335,364,364,351,357,342,348,233,242,208,217,215,221,400,409,345,372,170,170,389,392,350,350,,48.5,8
ZGC16,ZGC,278,284,423,423,317,335,364,364,351,354,342,342,242,248,208,223,221,224,403,409,345,372,170,182,380,389,350,359,,49,14
ZGC17,ZGC,0,0,0,0,335,335,0,0,354,357,342,342,242,248,208,208,215,221,403,409,345,372,170,182,389,398,359,359,,41,15
ZGC18,ZGC,278,278,421,427,335,338,364,364,351,357,339,342,233,242,205,208,224,224,409,409,345,372,170,182,392,392,353,359,,33,18
ZGC19,ZGC,278,278,421,427,335,335,0,0,351,357,342,348,233,233,208,217,224,224,403,409,345,372,170,170,392,392,0,0,,31,23
ZGC20,ZGC,278,280,423,423,332,335,364,364,351,357,342,348,233,233,208,208,221,221,400,403,345,351,170,182,392,392,350,359,,31,23
ZGC21,ZGC,278,278,423,430,335,335,364,364,357,357,339,345,242,248,208,250,221,224,400,400,345,372,182,182,377,392,350,359,,36.5,25
ZGC22,ZGC,278,278,427,427,335,335,364,364,357,357,342,342,230,233,208,217,215,221,409,409,345,372,170,185,392,392,350,350,,36.5,25
ZGC23,ZGC,280,284,419,427,335,338,364,364,357,357,342,348,233,242,217,217,221,221,406,406,345,372,170,185,389,392,353,353,,44,23.5
ZGC24,ZGC,278,278,423,423,335,338,364,364,357,363,342,342,233,242,217,250,221,221,409,409,345,348,170,170,392,392,350,359,,48.5,22
ZGC25,ZGC,0,0,423,423,335,335,364,364,357,357,339,342,233,242,208,220,215,221,403,409,345,372,170,185,392,392,350,350,,48.5,22
ZGC26,ZGC,278,280,423,423,335,335,364,364,357,357,342,342,248,248,214,220,221,221,403,403,345,351,170,182,392,395,350,350,,48.5,22
ZGC27,ZGC,278,278,421,427,335,338,364,364,351,357,342,342,233,248,211,250,221,224,400,403,345,372,170,182,392,392,350,350,,51.5,5
ZGC28,ZGC,278,278,419,424,335,335,364,364,357,357,339,342,233,242,208,208,215,215,409,409,345,351,170,182,386,392,350,359,,55,5.5
ZGC29,ZGC,276,280,421,427,332,335,364,364,357,357,342,348,233,248,217,217,221,224,403,409,345,372,170,182,392,395,350,350,,55,5.5
ZGC30,ZGC,276,280,421,427,332,335,364,364,357,357,342,348,233,248,217,217,221,224,403,409,345,372,170,182,392,395,350,350,,58,5.5
ZGC31,ZGC,276,280,423,423,335,335,364,364,357,363,342,342,248,248,208,217,215,221,403,409,345,351,170,170,383,392,350,350,,58,5.5
ZGC32,ZGC,276,280,421,427,335,335,364,364,351,357,342,348,233,242,208,241,221,224,409,409,345,360,170,173,392,392,350,359,,59.5,8.5
ZGC33,ZGC,278,278,421,427,335,335,364,364,0,0,339,342,0,0,205,223,224,224,403,403,345,372,170,170,389,389,350,359,,59,10
ZGC34,ZGC,278,278,423,423,335,335,364,364,354,357,342,342,242,248,208,217,221,221,409,409,345,372,170,170,392,398,350,356,,52.5,16
ZGC35,ZGC,278,282,421,427,335,338,364,364,351,363,339,339,242,248,208,220,0,0,400,409,345,372,170,182,392,392,350,350,,59,16
ZGC36,ZGC,274,278,421,421,335,335,364,364,357,357,342,348,233,233,208,241,224,224,400,409,345,348,170,170,392,398,350,353,,67,7
ZGC37,ZGC,278,278,421,430,335,335,364,364,351,351,333,342,233,233,217,217,206,221,403,409,345,372,170,170,392,392,359,359,,73,5
ZGC38,ZGC,276,278,421,427,335,335,364,364,357,357,342,342,242,242,208,241,221,221,400,403,345,372,170,185,389,389,350,350,,62,11
ZGC39,ZGC,276,278,423,423,332,335,364,364,357,357,339,342,233,233,208,217,215,224,403,409,345,351,170,182,392,392,350,359,,71,19
ZGC40,ZGC,274,282,423,423,338,335,364,364,357,363,339,342,242,248,208,208,221,224,400,409,345,351,170,170,392,392,350,353,,61,20
ZGC41,ZGC,278,278,421,421,335,335,364,364,351,351,339,348,233,242,220,250,221,221,403,409,345,372,170,182,392,392,350,350,,61,20
ZGC42,ZGC,278,278,421,421,335,335,373,373,0,0,342,342,0,0,217,250,221,224,400,409,345,372,182,182,392,392,350,353,,63.5,22
ZGC43,ZGC,278,278,421,421,335,338,364,364,354,357,342,342,233,233,217,217,215,221,409,409,345,372,182,185,392,392,350,350,,62,25
ZGC44,ZGC,278,278,423,423,335,338,364,364,351,357,336,342,242,248,208,241,215,224,400,409,345,372,170,182,392,392,350,359,,67,21
ZGC45,ZGC,278,278,421,421,335,335,364,364,351,357,342,342,233,233,217,232,215,215,409,409,345,351,170,173,392,392,350,350,,73,18
ZGC46,ZGC,278,280,423,433,335,338,364,364,357,357,333,342,233,242,205,220,221,221,400,409,345,372,173,182,389,392,350,350,,73,18
ZGC47,ZGC,278,278,421,427,335,335,364,364,357,357,342,342,233,242,220,232,215,215,409,409,345,348,170,170,389,392,350,359,,80,21
ZGC48,ZGC,280,280,419,424,335,335,364,364,351,357,342,342,233,233,217,220,221,221,403,409,345,351,170,182,392,392,350,350,,80,21
ZGC49,ZGC,278,278,423,423,335,335,364,364,357,357,342,342,233,248,208,223,215,221,400,409,345,372,170,182,380,392,350,350,,80,21
ZGC50,ZGC,278,278,421,427,335,335,364,364,357,357,342,342,233,233,205,217,215,221,409,409,345,372,170,173,392,392,350,353,,84,23
ZGC51,ZGC,278,278,423,423,335,335,364,364,351,357,342,342,233,242,205,250,221,221,400,409,345,372,170,170,392,392,350,356,,93,13
ZGC52,ZGC,278,278,423,423,335,335,364,364,357,357,339,339,242,248,208,217,224,224,406,409,345,372,170,170,383,392,350,350,,97.5,21
ZGC53,ZGC,276,278,423,423,335,335,364,364,357,357,339,342,233,233,208,232,215,221,400,409,345,372,170,182,383,392,350,359,,88,13
ZGC54,ZGC,278,278,423,430,335,335,364,364,348,357,342,348,233,248,208,208,215,224,403,409,342,345,170,182,383,392,350,353,,88,13
ZGC55,ZGC,278,278,419,427,335,335,364,364,357,357,342,348,248,248,205,217,215,221,403,409,345,372,182,182,389,392,350,350,,88,13
ZGC56,ZGC,278,278,419,427,335,335,364,364,357,357,342,348,248,248,205,217,215,221,403,409,345,372,182,182,389,392,350,350,,83,14.5
ZGC57,ZGC,278,278,421,427,335,335,364,364,351,357,342,342,233,233,250,250,215,221,400,409,345,372,170,182,392,392,350,350,,83,12
ZGC58,ZGC,276,278,421,421,338,338,364,364,357,357,348,348,233,242,217,217,215,221,400,409,345,372,170,182,392,392,350,356,,78,14.5
ZGC59,ZGC,276,278,421,427,335,335,364,364,357,357,342,342,242,242,208,217,221,224,400,409,345,372,170,170,389,398,350,350,,78,14.5
ZGC60,ZGC,278,278,421,430,335,335,364,364,348,357,333,339,242,248,208,223,224,224,409,409,345,372,170,182,392,392,350,353,,78,14.5
ZGC61,ZGC,274,280,421,427,335,335,364,364,357,357,339,342,233,248,208,208,221,224,400,409,345,372,170,170,389,392,350,350,,77,12
